depth	path	type	url	resource_id	published_products
1	Shop All	COLLECTION	/collections/most-sold-products	gid://shopify/Collection/261003542625	1575
1	Home & Living	COLLECTION	/collections/home-living	gid://shopify/Collection/502314008888	266
2	Home & Living > Kitchen & Table	COLLECTION	/collections/kitchen-table	gid://shopify/Collection/502315057464	303
3	Home & Living > Kitchen & Table > Barware	COLLECTION	/collections/barware	gid://shopify/Collection/502315155768	74
3	Home & Living > Kitchen & Table > Serveware	COLLECTION	/collections/serveware	gid://shopify/Collection/502315417912	47
3	Home & Living > Kitchen & Table > Kitchen Tools & Gadgets	COLLECTION	/collections/kitchen-tools-gadgets	gid://shopify/Collection/502315352376	32
3	Home & Living > Kitchen & Table > Drinkware	COLLECTION	/collections/drinkware	gid://shopify/Collection/502315286840	25
2	Home & Living > Vases & Decorative Jugs	COLLECTION	/collections/vases-decorative-jugs	gid://shopify/Collection/502314631480	50
2	Home & Living > Wall Art & Plaques	COLLECTION	/collections/wall-art-plaques	gid://shopify/Collection/502314664248	33
2	Home & Living > Figurines & Ornaments	COLLECTION	/collections/figurines-ornaments	gid://shopify/Collection/502314369336	38
2	Home & Living > Home Fragrance	COLLECTION	/collections/home-fragrance-1	gid://shopify/Collection/502314434872	35
2	Home & Living > Textiles	COLLECTION	/collections/textiles	gid://shopify/Collection/502315843896	53
3	Home & Living > Textiles > Apparel & Accessories	COLLECTION	/collections/apparel-accessories	gid://shopify/Collection/502315876664	27
3	Home & Living > Textiles > Cushions & Cushion Covers	COLLECTION	/collections/cushions-cushion-covers	gid://shopify/Collection/502315909432	20
2	Home & Living > Hardware & Tools	COLLECTION	/collections/hardware-tools	gid://shopify/Collection/502313582904	79
3	Home & Living > Hardware & Tools > Door Knobs & Handles	COLLECTION	/collections/door-knobs-handles	gid://shopify/Collection/502313812280	33
3	Home & Living > Hardware & Tools > Hooks & Hangers	COLLECTION	/collections/hooks-hangers	gid://shopify/Collection/502313877816	31
2	Home & Living > Garden & Outdoor	COLLECTION	/collections/garden-outdoor	gid://shopify/Collection/502313222456	30
3	Home & Living > Garden & Outdoor > Pots & Planters	COLLECTION	/collections/pots-planters	gid://shopify/Collection/502312862008	22
3	Home & Living > Garden & Outdoor > Wind Chimes & Bells	COLLECTION	/collections/wind-chimes-bells	gid://shopify/Collection/502312894776	5
2	Home & Living > Signs & Words	COLLECTION	/collections/signs-words	gid://shopify/Collection/502314565944	27
2	Home & Living > Trays & Dishes	COLLECTION	/collections/trays-dishes	gid://shopify/Collection/502314598712	17
2	Home & Living > Doorstops & Bookends	COLLECTION	/collections/doorstops-bookends	gid://shopify/Collection/502314336568	16
2	Home & Living > Clocks	COLLECTION	/collections/clocks-1	gid://shopify/Collection/502314172728	11
1	Gifts	COLLECTION	/collections/gifts-stationery	gid://shopify/Collection/502313255224	224
2	Gifts > Jewellery	COLLECTION	/collections/jewellery	gid://shopify/Collection/502314697016	176
3	Gifts > Jewellery > Earrings	COLLECTION	/collections/earrings-1	gid://shopify/Collection/502314926392	65
3	Gifts > Jewellery > Brooches & Pins	COLLECTION	/collections/brooches-pins	gid://shopify/Collection/502314795320	61
