depth	path	type	url	resource_id	published_products
1	Home & Living	COLLECTION	/collections/home-living	gid://shopify/Collection/502314008888	266
2	Home & Living > Decor & Styling	HTTP	#	-	-
3	Home & Living > Decor & Styling > Trays & Dishes	COLLECTION	/collections/trays-dishes	gid://shopify/Collection/502314598712	17
3	Home & Living > Decor & Styling > Decorative Items	COLLECTION	/collections/decorative-items-1	gid://shopify/Collection/502314271032	8
3	Home & Living > Decor & Styling > Baskets & Storage	COLLECTION	/collections/baskets-storage	gid://shopify/Collection/502314107192	7
3	Home & Living > Decor & Styling > Decorative Tins & Boxes	COLLECTION	/collections/decorative-tins-boxes	gid://shopify/Collection/502314041656	6
3	Home & Living > Decor & Styling > Craft & Sewing Supplies	COLLECTION	/collections/craft-sewing-supplies	gid://shopify/Collection/502314205496	1
3	Home & Living > Decor & Styling > Photo & Picture Frames	COLLECTION	/collections/photo-picture-frames-1	gid://shopify/Collection/502314533176	5
3	Home & Living > Decor & Styling > Figurines & Ornaments	COLLECTION	/collections/figurines-ornaments	gid://shopify/Collection/502314369336	38
3	Home & Living > Decor & Styling > Doorstops & Bookends	COLLECTION	/collections/doorstops-bookends	gid://shopify/Collection/502314336568	16
3	Home & Living > Decor & Styling > Vases & Decorative Jugs	COLLECTION	/collections/vases-decorative-jugs	gid://shopify/Collection/502314631480	50
3	Home & Living > Decor & Styling > Wall Art & Plaques	COLLECTION	/collections/wall-art-plaques	gid://shopify/Collection/502314664248	33
3	Home & Living > Decor & Styling > Signs & Words	COLLECTION	/collections/signs-words	gid://shopify/Collection/502314565944	27
2	Home & Living > Fixtures & Hardware	HTTP	#	-	-
3	Home & Living > Fixtures & Hardware > Curtain Hardware	COLLECTION	/collections/curtain-hardware	gid://shopify/Collection/502314238264	0
3	Home & Living > Fixtures & Hardware > Household Tools & Utilities	COLLECTION	/collections/household-tools-utilities	gid://shopify/Collection/502314467640	0
3	Home & Living > Fixtures & Hardware > Display & Wall Hardware	COLLECTION	/collections/display-wall-hardware	gid://shopify/Collection/502314303800	0
3	Home & Living > Fixtures & Hardware > Cleaning & Laundry	COLLECTION	/collections/cleaning-laundry	gid://shopify/Collection/502314139960	4
3	Home & Living > Fixtures & Hardware > Heating & Cooling	COLLECTION	/collections/heating-cooling	gid://shopify/Collection/502314402104	1
3	Home & Living > Fixtures & Hardware > Personal Care Appliances	COLLECTION	/collections/personal-care-appliances	gid://shopify/Collection/502314500408	0
2	Home & Living > Lighting & Atmosphere	HTTP	#	-	-
3	Home & Living > Lighting & Atmosphere > Lighting	COLLECTION	/collections/lighting	gid://shopify/Collection/502315614520	7
3	Home & Living > Lighting & Atmosphere > Home Fragrance	COLLECTION	/collections/home-fragrance-1	gid://shopify/Collection/502314434872	35
3	Home & Living > Lighting & Atmosphere > Clocks	COLLECTION	/collections/clocks-1	gid://shopify/Collection/502314172728	11
2	Home & Living > Kitchen & Table	COLLECTION	/collections/kitchen-table	gid://shopify/Collection/502315057464	303
3	Home & Living > Kitchen & Table > Bakeware	COLLECTION	/collections/bakeware	gid://shopify/Collection/502315090232	4
3	Home & Living > Kitchen & Table > Baking Tools	COLLECTION	/collections/baking-tools	gid://shopify/Collection/502315123000	0
3	Home & Living > Kitchen & Table > Barware	COLLECTION	/collections/barware	gid://shopify/Collection/502315155768	74
3	Home & Living > Kitchen & Table > Cookware	COLLECTION	/collections/cookware	gid://shopify/Collection/502315188536	1
3	Home & Living > Kitchen & Table > Cutlery & Utensils	COLLECTION	/collections/cutlery-utensils	gid://shopify/Collection/502315221304	25
